bad,dag,times
Mirandabad,Saturday,09:00–16:00
Mirandabad,Sunday,09:00–16:00
Mirandabad,Monday,07:00–21:00
Mirandabad,Tuesday,07:00–21:00
Mirandabad,Wednesday,07:00–21:00
Mirandabad,Thursday,07:00–21:00
Mirandabad,Friday,07:00–21:00
Zuiderbad,Saturday,08:00–15:00
Zuiderbad,Sunday,10:00–17:30
Zuiderbad,Monday,07:00–18:00
Zuiderbad,Tuesday,07:00–22:00
Zuiderbad,Wednesday,07:00–22:00
Zuiderbad,Thursday,07:00–22:00
Zuiderbad,Friday,07:00–22:00
Noorderpark,Monday,07:00–18:00
Noorderpark,Tuesday,07:00–18:00
Noorderpark,Wednesday,07:00–18:00
Noorderpark,Thursday,07:00–18:00
Noorderpark,Friday,07:00–18:00
Noorderpark,Saturday,09:00–16:00
Noorderpark,Sunday,09:00–16:00
Bijlmersportcentrum,Monday,07:30 – 08:30  en  11:30 – 13:00 en 15:45 – 21:30
Bijlmersportcentrum,Tuesday,07:30 – 13:00 en 15:00 – 21:00
Bijlmersportcentrum,Wednesday,07:30 – 10:30 en 13:45 – 16:30
Bijlmersportcentrum,Thursday,07:30 – 12:30 en 15:00 – 21:30
Bijlmersportcentrum,Friday,09:00 – 10:30 en 15:45 – 18:00
Bijlmersportcentrum,Saturday,08:30 – 13:00
Bijlmersportcentrum,Sunday,10:00 – 14:30
Het Marnix,Saturday,07:00–16:45
Het Marnix,Sunday,09:00–17:00
Het Marnix,Monday,07:00–17:00
Het Marnix,Tuesday,07:00–22:45
Het Marnix,Wednesday,07:00–22:45
Het Marnix,Thursday,07:00–21:00
Het Marnix,Friday,07:00–17:15
SportPlaza Mercator,Saturday,09:00–17:00
SportPlaza Mercator,Sunday,09:00–17:00
SportPlaza Mercator,Monday,07:00–22:00
SportPlaza Mercator,Tuesday,07:00–22:00
SportPlaza Mercator,Wednesday,07:00–22:00
SportPlaza Mercator,Thursday,07:00–22:00
SportPlaza Mercator,Friday,07:00–22:00
Sportfondsenbad Oost,Saturday,08:15–12:30
Sportfondsenbad Oost,Sunday,08:30–13:00
Sportfondsenbad Oost,Monday,12:00–13:00 en 15:30–21:00
Sportfondsenbad Oost,Tuesday,07:30–13:00 en 15:30–18:45
Sportfondsenbad Oost,Wednesday,07:30–21:00
Sportfondsenbad Oost,Thursday,07:30–13:00 en 15:30–18:00
Sportfondsenbad Oost,Friday,12:00–13:00 en 15:30–20:30
Sloterparkbad,Monday,06:30-13:00
Sloterparkbad,Tuesday,06:30-22:00
Sloterparkbad,Wednesday,06:30-22:00
Sloterparkbad,Thursday,06:30-22:00
Sloterparkbad,Friday,06:30-13:00
Sloterparkbad,Saturday,11:15-13:15
Sloterparkbad,Sunday,10:15-12:15
Zwembad de Meerkamp,Saturday,11:00–17:00
Zwembad de Meerkamp,Sunday,10:00–17:00
Zwembad de Meerkamp,Monday,12:30–22:00
Zwembad de Meerkamp,Tuesday,12:30–15:00
Zwembad de Meerkamp,Wednesday,12:30–22:00
Zwembad de Meerkamp,Thursday,10:00–15:00
Zwembad de Meerkamp,Friday,12:30–21:00
Wethouder Duranbad,Saturday,09:00–18:00
Wethouder Duranbad,Sunday,09:00–18:00
Wethouder Duranbad,Monday,09:00–23:00
Wethouder Duranbad,Tuesday,07:00–23:00
Wethouder Duranbad,Wednesday,09:00–23:00
Wethouder Duranbad,Thursday,07:00–23:00
Wethouder Duranbad,Friday,08:00–23:00
Victoriabad Weesp,Saturday,Gesloten
Victoriabad Weesp,Sunday,09:30–14:00
Victoriabad Weesp,Monday,Gesloten
Victoriabad Weesp,Tuesday,11:00–13:00 en 19:30–20:30
Victoriabad Weesp,Wednesday,10:00–13:00
Victoriabad Weesp,Thursday,11:00–13:00
Victoriabad Weesp,Friday,09:00–13:00